City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Eisenerz,AT,66.06,light rain,47.5333,14.8833,JUFA Hotel Eisenerz
390,Kontagora,NG,71.1,light rain,10.3999,5.4695,Queens Guest Inn
391,De-Kastri,RU,61.68,overcast clouds,51.4667,140.7833,Somon Hotel
392,Rodrigues Alves,BR,70.11,clear sky,-7.738,-72.6509,Pousada Aconchego
393,Redmond,US,62.35,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
394,La Suiza,CR,71.6,overcast clouds,9.8524,-83.6133,Nature Hideaway Bed & Breakfast
395,Maragogi,BR,73.06,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
397,Solnechnyy,RU,48.65,light rain,50.7214,136.6319,Hotel complex Pastoral
398,Saint Anthony,US,70.56,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
399,Kalmunai,LK,88.97,overcast clouds,7.4167,81.8167,VS Villa
401,Turka,UA,68.25,clear sky,49.1541,23.0297,Мотель
402,Kirchlinteln,DE,63.95,overcast clouds,52.95,9.3167,Haags Hotel GmbH & Co. KG Niedersachsenhof
403,San Lorenzo,PY,72.54,clear sky,-25.3333,-57.5333,Hotel del Sur
404,Namibe,AO,68.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
405,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
406,Berlevag,NO,62.17,scattered clouds,70.8578,29.0864,Kvitbrakka
407,Lazaro Cardenas,MX,79.88,overcast clouds,17.9583,-102.2,quinta antigua
408,Mahina,PF,78.57,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
409,Kashira,RU,70.14,light rain,54.8444,38.1669,"Гостиница Кашира, номер с кухней и ванной от 2500 руб. квартира на сутки Кашира."
412,Inhambane,MZ,72.3,clear sky,-23.865,35.3833,Oceano
413,Springfield,US,77.02,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
415,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
417,Matagami,CA,42.91,clear sky,49.7502,-77.6328,Hôtel Matagami
418,Vila Praia De Ancora,PT,59.11,broken clouds,41.811,-8.8526,Hotel Meira
419,Lagoa,PT,68.81,broken clouds,39.05,-27.9833,Casa Das Faias
420,Petropavlovsk-Kamchatskiy,RU,59.59,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
421,Rio Gallegos,AR,33.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
422,Tokuyama,JP,87.42,moderate rain,34.05,131.8167,Toyoko INN Tokuyama eki Shinkansenguchi
423,Benghazi,LY,82.78,clear sky,32.1167,20.0667,Tibesti Hotel
425,Turukhansk,RU,77.59,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
426,Skegness,GB,61.43,overcast clouds,53.1436,0.3363,The Royal Hotel
427,Canutama,BR,70.77,clear sky,-6.5339,-64.3831,Hotel Jhennifer
428,Salinopolis,BR,77.9,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
429,Bengkulu,ID,84.67,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
431,Souillac,MU,71.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
432,Jacareacanga,BR,74.52,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
433,Huron,US,68.68,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
434,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
435,Bontang,ID,84.96,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
436,Seoul,KR,89.2,light rain,37.5683,126.9778,롯데호텔 서울
437,Albertville,US,71.46,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
438,Suda,RU,62.71,overcast clouds,59.1525,37.5582,Petrion
439,Baruun-Urt,MN,79.48,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
441,Patnanungan,PH,88.5,overcast clouds,14.7833,122.1833,Villa Caesar
442,Pedasi,PA,77.32,overcast clouds,7.5333,-80.0333,Selina Pedasi
443,Trairi,BR,76.32,clear sky,-3.2778,-39.2689,janelas do mar
444,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
445,Havoysund,NO,67.08,scattered clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
446,Pevek,RU,40.62,overcast clouds,69.7008,170.3133,Hotel ABC
447,Coos Bay,US,71.02,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
448,Sambava,MG,75.2,clear sky,-14.2667,50.1667,Melrose
449,Ternate,ID,82.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
450,Yar-Sale,RU,72.75,clear sky,66.8333,70.8333,Yalemd
451,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
452,Chavakkad,IN,81.77,overcast clouds,10.5333,76.05,Rajah Island
454,Manakara,MG,72.32,clear sky,-22.1333,48.0167,La Residence Manakara
455,Conakry,GN,77.07,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
456,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
457,Nova Olimpia,BR,69.78,clear sky,-14.7972,-57.2881,Motel glamour
459,Cayhagan,PH,83.1,light rain,9.6697,122.4256,Melrose Beach Resort
460,Port Lincoln,AU,60.82,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
461,Chicama,PE,61.41,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
462,Grand Forks,US,69.73,clear sky,47.9417,-97.4337,Warrior Inn
463,Amazar,RU,59.13,light rain,53.858,120.875,Гостиничный Комплекс Уют
464,West Richland,US,77.32,scattered clouds,46.3043,-119.3614,Horn Rapids RV Resort
465,Anda,CN,86.34,broken clouds,46.4,125.3167,Shuntong Hotel
466,Polyarnyy,RU,64.87,broken clouds,69.1989,33.4478,Hotel Tatyana
467,Saldanha,ZA,42.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
469,Adelaide,AU,63.05,few clouds,-34.9333,138.6,The Chancellor on Currie
470,Atar,MR,81.99,scattered clouds,20.5169,-13.0499,Oumou Elghoura
471,Barretos,BR,63.3,few clouds,-20.5572,-48.5678,Dan Inn Barretos
472,Udachnyy,RU,56.19,light rain,66.4167,112.4,Severnoye Siyaniye
473,Kiunga,PG,77.72,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
474,Sungaipenuh,ID,75.96,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
475,Lichuan,CN,76.44,light rain,30.3,108.85,Yicheng Hotel
476,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
477,Buala,SB,80.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
478,Maraba,BR,69.98,clear sky,-5.3686,-49.1178,Hotel Del Principe
479,Fredericton,CA,65.44,mist,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
480,Bandarbeyla,SO,87.08,clear sky,9.4942,50.8122,JABIR HOTEL
481,San Cristobal,VE,64.44,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
482,Tutoia,BR,73.22,clear sky,-2.7619,-42.2744,Pousada Guará's
483,Suarez,CO,66.11,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
484,Nayoro,JP,65.01,overcast clouds,44.3506,142.4578,大雪荘
486,Sao Geraldo Do Araguaia,BR,77.63,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
488,Jha Jha,IN,85.5,overcast clouds,24.7667,86.3667,Barnwal Dharmshala
489,Soyo,AO,73.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
492,Mangan,IN,82.4,overcast clouds,27.5167,88.5333,Hotel Mout View
493,Lucapa,AO,74.32,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
494,Nizhnyaya Tavda,RU,64.04,overcast clouds,57.6731,66.1725,Dom
495,Soto La Marina,MX,77.77,clear sky,23.7667,-98.2167,Hotel Chicago
496,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
498,Jadu,LY,89.44,clear sky,31.953,12.0261,امياس للصرافة
499,Rosario Do Sul,BR,60.8,clear sky,-30.2583,-54.9142,Hotel Areias Brancas
500,Shingu,JP,86.99,clear sky,33.7333,135.9833,Shingu UI Hotel
501,Gat,IL,84.88,few clouds,31.61,34.7642,OlusHome
502,Ereymentau,KZ,73.76,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
